Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount, Discounted Unit Price,Profit,Profit Margin,Lead Time,Delivery Status
20,CA-2011-143336,27/08/2011 00:00,01/09/2011 00:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,71.16,16.011,0.075,5,Late
21,CA-2011-143336,27/08/2011 00:00,01/09/2011 00:00,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,5.68,7.384,0.325,5,Late
22,CA-2013-137330,10/12/2013 00:00,14/12/2013 00:00,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,2.78,5.0596,0.26,4,On - time
23,CA-2013-137330,10/12/2013 00:00,14/12/2013 00:00,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,8.62,15.6884,0.26,4,On - time
24,US-2014-156909,17/07/2014 00:00,19/07/2014 00:00,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,35.686,-1.0196,-0.014285714,2,On - time
25,CA-2012-106320,25/09/2012 00:00,30/09/2012 00:00,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,348.21,240.2649,0.23,5,Late
26,CA-2013-121755,16/01/2013 00:00,20/01/2013 00:00,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,5.824,4.2224,0.3625,4,On - time
27,CA-2013-121755,16/01/2013 00:00,20/01/2013 00:00,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,30.19,11.7741,0.13,4,On - time
28,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,440.49,-1665.0522,-0.54,4,On - time
29,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,4.809,-7.0532,-0.733333333,4,On - time
30,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,41.4,15.525,0.125,4,On - time
31,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.632,1.1016,0.3375,4,On - time
32,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,14.384,9.7092,0.1125,4,On - time
33,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,1.143,-5.715,-0.833333333,4,On - time
34,US-2012-150630,17/09/2012 00:00,21/09/2012 00:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,7.88,3.546,0.225,4,On - time
35,CA-2014-107727,20/10/2014 00:00,24/10/2014 00:00,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,29.472,3,0.2,9.824,9.9468,0.3375,4,On - time
36,CA-2013-117590,09/12/2013 00:00,11/12/2013 00:00,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,156.792,123.4737,0.1125,2,On - time
37,CA-2013-117590,09/12/2013 00:00,11/12/2013 00:00,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,38.184,-147.963,-0.775,2,On - time
38,CA-2012-117415,27/12/2012 00:00,31/12/2012 00:00,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,12.592,35.415,0.3125,4,On - time
39,CA-2012-117415,27/12/2012 00:00,31/12/2012 00:00,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,177.4664,-46.9764,-0.088235294,4,On - time
40,CA-2012-117415,27/12/2012 00:00,31/12/2012 00:00,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,70.686,-15.147,-0.071428571,4,On - time
41,CA-2012-117415,27/12/2012 00:00,31/12/2012 00:00,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,92.792,41.7564,0.1125,4,On - time
42,CA-2014-120999,11/09/2014 00:00,16/09/2014 00:00,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,36.792,16.5564,0.1125,5,Late
43,CA-2013-101343,18/07/2013 00:00,23/07/2013 00:00,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,38.94,3.894,0.05,5,Late
44,CA-2014-139619,20/09/2014 00:00,24/09/2014 00:00,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,47.808,9.5616,0.1,4,On - time
45,CA-2013-118255,12/03/2013 00:00,14/03/2013 00:00,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,22.99,19.7714,0.43,2,On - time
46,CA-2013-118255,12/03/2013 00:00,14/03/2013 00:00,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.73,8.2062,0.47,2,On - time
47,CA-2011-146703,20/10/2011 00:00,25/10/2011 00:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,52.99,8.4784,0.04,5,Late
48,CA-2013-169194,21/06/2013 00:00,26/06/2013 00:00,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,15,4.95,0.11,5,Late
49,CA-2013-169194,21/06/2013 00:00,26/06/2013 00:00,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,10.9,6.104,0.28,5,Late
50,CA-2012-115742,18/04/2012 00:00,22/04/2012 00:00,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,6.37,17.9634,0.47,4,On - time
51,CA-2012-115742,18/04/2012 00:00,22/04/2012 00:00,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,12.53,35.3346,0.47,4,On - time
52,CA-2012-115742,18/04/2012 00:00,22/04/2012 00:00,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,3.08,2.9568,0.48,4,On - time
53,CA-2012-115742,18/04/2012 00:00,22/04/2012 00:00,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,89.99,17.0981,0.19,4,On - time
54,CA-2013-105816,12/12/2013 00:00,18/12/2013 00:00,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,2.18,6.2566,0.41,6,Late
55,CA-2013-105816,12/12/2013 00:00,18/12/2013 00:00,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,205.99,298.6855,0.29,6,Late
56,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,34.76,52.14,0.25,1,Early
57,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,6.48,15.552,0.48,1,Early
58,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,63.882,7.098,0.022222222,1,Early
59,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,7.28,6.9888,0.48,1,Early
60,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,15,3.3,0.11,1,Early
61,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,12.12,16.362,0.3375,1,Early
62,CA-2013-111682,18/06/2013 00:00,19/06/2013 00:00,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,1.68,0.84,0.5,1,Early
63,CA-2012-135545,24/11/2012 00:00,30/11/2012 00:00,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.99,6.1512,0.44,6,Late
64,CA-2012-135545,24/11/2012 00:00,30/11/2012 00:00,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,4.304,9.3612,0.3625,6,Late
65,CA-2012-135545,24/11/2012 00:00,30/11/2012 00:00,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,48.91,68.9631,0.47,6,Late
66,CA-2012-135545,24/11/2012 00:00,30/11/2012 00:00,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,19.94,22.3328,0.28,6,Late
67,US-2012-164175,30/04/2012 00:00,05/05/2012 00:00,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,42.623,-15.2225,-0.071428571,5,Late
68,CA-2011-106376,05/12/2011 00:00,10/12/2011 00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,139.128,111.3024,0.1,5,Late
69,CA-2011-106376,05/12/2011 00:00,10/12/2011 00:00,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,41.992,62.988,0.375,5,Late
70,CA-2013-119823,05/06/2013 00:00,07/06/2013 00:00,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,37.94,35.6636,0.47,2,On - time
71,CA-2013-106075,19/09/2013 00:00,24/09/2013 00:00,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,4.616,1.731,0.375,5,Late
72,CA-2014-114440,15/09/2014 00:00,18/09/2014 00:00,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,6.35,8.763,0.46,3,On - time
73,US-2012-134026,26/04/2012 00:00,02/05/2012 00:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,103.992,-114.3912,-0.1375,6,Late
74,US-2012-134026,26/04/2012 00:00,02/05/2012 00:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,48.52,1.213,0.0125,6,Late
75,US-2012-134026,26/04/2012 00:00,02/05/2012 00:00,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,72.784,-18.196,-0.25,6,Late
76,US-2014-118038,10/12/2014 00:00,12/12/2014 00:00,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,0.416,-1.9344,-1.55,2,On - time
77,US-2014-118038,10/12/2014 00:00,12/12/2014 00:00,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,3.236,-5.8248,-0.6,2,On - time
78,US-2014-118038,10/12/2014 00:00,12/12/2014 00:00,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,9.08,2.724,0.1,2,On - time
79,US-2011-147606,26/11/2011 00:00,01/12/2011 00:00,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,3.86,-14.475,-0.75,5,Late
80,CA-2013-127208,13/06/2013 00:00,16/06/2013 00:00,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,208.16,56.2032,0.27,3,On - time
81,CA-2013-127208,13/06/2013 00:00,16/06/2013 00:00,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,5.58,8.0352,0.48,3,On - time
82,CA-2011-139451,12/10/2011 00:00,16/10/2011 00:00,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,2.98,4.172,0.28,4,On - time
83,CA-2011-139451,12/10/2011 00:00,16/10/2011 00:00,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,21.39,6.2031,0.29,4,On - time
84,CA-2012-149734,03/09/2012 00:00,08/09/2012 00:00,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,28.712,62.8075,0.3125,5,Late
85,US-2014-119662,14/11/2014 00:00,17/11/2014 00:00,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,76.792,-48.9549,-0.2125,3,On - time
86,CA-2014-140088,29/05/2014 00:00,31/05/2014 00:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,150.98,33.2156,0.11,2,On - time
87,CA-2014-155558,27/10/2014 00:00,03/11/2014 00:00,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,19.99,6.7966,0.34,7,Late
88,CA-2014-155558,27/10/2014 00:00,03/11/2014 00:00,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,3.08,2.9568,0.48,7,Late
89,CA-2013-159695,06/04/2013 00:00,11/04/2013 00:00,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,22.624,13.8572,0.0875,5,Late
90,CA-2013-109806,18/09/2013 00:00,23/09/2013 00:00,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.7,6.633,0.33,5,Late
91,CA-2013-109806,18/09/2013 00:00,23/09/2013 00:00,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,36.792,8.2782,0.1125,5,Late
92,CA-2013-109806,18/09/2013 00:00,23/09/2013 00:00,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,6.48,3.1104,0.48,5,Late
93,CA-2012-149587,31/01/2012 00:00,05/02/2012 00:00,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.48,6.2208,0.48,5,Late
94,CA-2012-149587,31/01/2012 00:00,05/02/2012 00:00,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,17.78,16.5354,0.31,5,Late
